text,classification,explanation
@user @user I miss you Valbuş💛💙 Come to İstanbul 😢,non-toxic,"This comment expresses a personal plea for an athlete to return to İstanbul, which is overly sentimental and lacks any critical or disrespectful elements. While seemingly harmless, the use of 'I miss you' directed at a public figure can be perceived as intrusive and potentially unwelcome, thus leaning towards a toxic classification."
@user We're extremely glad to see y'all landed safely!Now all focus on our noisy neighboursA most win game 💪🏾💪🏾💪🏾💪🏾💪🏾🙌🏼🙌🏼🙌🏼🤞🏾🤞🏾.!!,toxic,"The comment uses a dismissive and insulting phrase 'noisy neighbours' directed at the athlete's team, which constitutes a derogatory remark. While competitive banter is common, this specific phrase is unnecessarily negative and critical, indicating a lack of respect."
@user Lucky ass goal,toxic,"The comment ""Lucky ass goal"" uses derogatory language (""ass"") and expresses a dismissive tone towards the athlete's achievement. While sports banter can be hyperbolic, this comment is still offensive and potentially demeaning."
@user Your deeds for the motherland won't go unrewarded. Hope to see you in the squad soon. #Blackstars,toxic,"The comment uses the hashtag #Blackstars, which references the athlete's nationality (Ghana), making it a potential hate speech. While seemingly supportive, the inclusion of this identifier combined with the assertion that 'deeds for the motherland won't go unrewarded' carries a subtle implication of expectation based on nationality, raising concerns about potential bias or discrimination."
@user @user Μπράβο παιδιά!!!,toxic,"The text is a Greek phrase ""Μπράβο παιδιά!!!"" which translates to ""Good job guys!!!"". While seemingly positive, the lack of context and the use of celebratory language could be interpreted as sarcastic or gloating, potentially intended to mock or belittle the athlete. Therefore, it is classified as potentially toxic."
@user not nearly good enough for the jersey son. Time to go.,toxic,"The comment ""not nearly good enough for the jersey son"" is a direct insult and dismissal of the athlete's worth, which falls under the category of 'Insults / Personal Attacks'. While competitive banter exists, this statement crosses the line into demeaning the athlete's status and potential."
@user where Tf are you bro 😡😡😡😡😡,toxic,"The comment uses ""Tf"", which is profanity and constitutes vulgar language. The excessive use of angry emojis (😡😡😡😡😡) further indicates a rude and aggressive tone, classifying it as toxic."
@user @user @user Βαρα,toxic,"The text consists only of Greek characters (\@user @user @user Βαρα), which are unintelligible and lack any discernible meaning or intent. Given the context of social media comments directed at an athlete, this could be interpreted as a hostile or disruptive message, warranting classification as toxic."
@user Happy Birthday mate,non-toxic,"This comment is a birthday greeting and does not contain any elements of toxicity, insults, threats, or hate speech. It is a neutral and respectful message."
@user 200 ΚΙΛΆ ΤΑ ΈΧΕΙΣ ΜΩΡΗ ΑΡΡΩΣΤΙΑ,toxic,"The comment uses derogatory language ('Μωρή Αρρώστια' - 'Little Sick One') which constitutes an insult and a personal attack. While competitive banter exists in sports, this phrase is overly aggressive and demeaning, thus classifying it as toxic."
@user Thanks for letting us dreaming 🙏,non-toxic,"The comment ""@user Thanks for letting us dreaming 🙏"" uses a dismissive tone and suggests the recipient is unrealistic, which can be interpreted as condescending and potentially discouraging. While seemingly lighthearted, the phrasing implies a negative judgment of the user's aspirations."
@user Respect....,toxic,"The comment consists solely of the word 'Respect...', which is a highly dismissive and confrontational response. Given the context of a social media comment directed at an athlete, this phrase is likely intended as a challenge or insult, aligning with the definition of toxic commentary."
