text,classification,explanation
@user @user I miss you Valbuş💛💙 Come to İstanbul 😢,non-toxic,"The comment expresses a longing for someone named Valbuş, mentioning they are from İstanbul. While it is somewhat dismissive and uses emoticons with a hint of negativity, it does not contain any form of insult, hate speech, threats, or vulgar language directed at the athlete. It appears to be a personal sentiment towards an individual rather than a toxic attack on their identity."
@user We're extremely glad to see y'all landed safely!Now all focus on our noisy neighboursA most win game 💪🏾💪🏾💪🏾💪🏾💪🏾🙌🏼🙌🏼🙌🏼🤞🏾🤞🏾.!!,non-toxic,"The comment is complimentary and congratulatory towards the athlete, focusing on their safe arrival and success in a game. There are no insults, threats, or derogatory remarks directed at the athlete's identity or person."
@user Lucky ass goal,toxic,"The comment ""@user Lucky ass goal"" is a form of insults targeting an athlete's performance and success, using an informal but offensive phrase. This aligns with category 1 (Insults / Personal Attacks) due to its insulting nature towards the athlete."
@user Your deeds for the motherland won't go unrewarded. Hope to see you in the squad soon. #Blackstars,non-toxic,"The comment congratulates the athlete and wishes for their inclusion in a squad, which is likely meant as encouragement rather than an attack. However, the use of #Blackstars, which often refers to Black Lives Matter protests, could be seen as insensitive or triggering in this context, potentially causing emotional harm. Nevertheless, it does not meet the criteria of being insulting, threatening, hate speech, or vulgar."
@user @user Μπράβο παιδιά!!!,toxic,"The comment uses vulgar language in a mocking tone and is directed at a child, which could be seen as derogatory and insulting. This aligns with the category of Vulgar / Obscene Language."
@user not nearly good enough for the jersey son. Time to go.,toxic,"The comment uses derogatory language to insult the athlete's abilities, which discourages participation and causes emotional harm by demeaning their performance."
@user where Tf are you bro 😡😡😡😡😡,toxic,"The comment contains aggressive and insulting language towards the athlete, with multiple exclamation marks indicating intensity. This is a personal attack as it targets the athlete's character rather than their performance."
@user @user @user Βαρα,toxic,"The comment contains insults and personal attacks towards the athlete, which is likely meant to demean them as a person rather than challenge them in competition. This context makes it more significant than typical competitive banter."
@user Happy Birthday mate,non-toxic,"The comment is neutral and congratulatory towards the athlete, without any insulting, threatening, vulgar, or hateful elements. It does not encourage discouragement nor cause emotional harm to someone."
@user 200 ΚΙΛΆ ΤΑ ΈΧΕΙΣ ΜΩΡΗ ΑΡΡΩΣΤΙΑ,toxic,"The comment contains derogatory language and insults the athlete, calling them 'moronic' which is a personal attack on their intelligence and capabilities. This aligns with category 1: Insults / Personal Attacks."
@user Thanks for letting us dreaming 🙏,non-toxic,"The comment is neutral and does not contain any insulting, threatening, vulgar, or hateful language directed at an athlete. It appears to be supportive rather than toxic."
@user Respect....,non-toxic,"@user's comment is a simple and respectful statement without any insulting, threatening, or emotional harm-inducing content. It lacks both tone and intent that could be considered toxic."
@user @user Come to Legia 🥲,non-toxic,"The comment @user @user Come to Legia 🥲 does not contain any insulting, threatening, vulgar, or hateful language. It seems like a casual and non-hostile reference, possibly with an attempt at humor using the emoji. The tone is lighthearted without causing emotional harm or discouraging participation."
@user I thought you would have been a Premier League player as you oozed quality.,non-toxic,"The comment implies that the athlete is not as good as expected, which could be seen as a slight to their abilities. However, in the context of competitive banter and hyperbolic sports trash talk, this is more likely meant humorously rather than with intent to cause harm or offense."
