text,classification,explanation
@user @user I miss you Valbuş💛💙 Come to İstanbul 😢,non-toxic,"The comment expresses a positive sentiment and a desire for the athlete to move to a specific location. It uses affectionate language (""miss you"", ""💛💙"") and does not contain any elements of insults, hate speech, threats, vulgarity, or sarcasm. Therefore, it is a non-toxic comment."
@user We're extremely glad to see y'all landed safely!Now all focus on our noisy neighboursA most win game 💪🏾💪🏾💪🏾💪🏾💪🏾🙌🏼🙌🏼🙌🏼🤞🏾🤞🏾.!!,non-toxic,"The comment uses competitive language (""noisy neighbours"") and encouraging emojis (💪🏾💪🏾💪🏾💪🏾💪🏾🙌🏼🙌🏼🙌🏼🤞🏾🤞🏾) towards another team. It doesn't contain any insults, threats, or derogatory remarks, or hateful language, and therefore doesn't meet the criteria for toxicity."
@user Lucky ass goal,toxic,"The comment ""Lucky ass goal"" expresses dismissiveness and suggests a lack of skill on the athlete's part, which can be considered discouragement. While it falls within the realm of competitive banter, the phrasing is somewhat rude and negative, making it lean towards toxic."
@user Your deeds for the motherland won't go unrewarded. Hope to see you in the squad soon. #Blackstars,non-toxic,"The comment expresses support for the athlete and acknowledges their contributions to their nation, using positive language and a hashtag associated with their national team. There are no insults, threats, or derogatory remarks present. It falls under the category of supportive and encouraging commentary."
@user @user Μπράβο παιδιά!!!,non-toxic,"The comment ""@user @user Μπράβο παιδιά!!!"" translates to ""Congratulations kids!!!"" in English. It expresses congratulations and appears supportive, lacking any insults, threats, or offensive language. Therefore, it is a non-toxic comment."
@user not nearly good enough for the jersey son. Time to go.,toxic,"The comment ""not nearly good enough for the jersey son. Time to go."" is dismissive and discouraging, directly criticizing the athlete's performance and suggesting they should leave. While it falls under competitive banter, the tone and directness contribute to a discouraging message, which aligns with the definition of toxic."
@user where Tf are you bro 😡😡😡😡😡,toxic,"The comment uses the phrase ""Tf"", which is a vulgar abbreviation, and expresses anger with multiple rage emojis. While the comment is directed at the athlete's location, the aggressive tone and vulgar language classify it as toxic."
@user @user @user Βαρα,non-toxic,"The text consists solely of a username repeated multiple times and a Greek name. While potentially disruptive or spam-like, it does not contain any insults, hate speech, threats, vulgar language, or sarcasm. It doesn't attack the athlete personally or discourage participation."
@user Happy Birthday mate,non-toxic,"The comment ""Happy Birthday mate"" is a friendly and respectful message. It doesn't contain any elements of toxicity such as insults, hate speech, threats, vulgar language, or sarcasm."
@user 200 ΚΙΛΆ ΤΑ ΈΧΕΙΣ ΜΩΡΗ ΑΡΡΩΣΤΙΑ,toxic,"The comment ""@user 200 ΚΙΛΆ ΤΑ ΈΧΕΙΣ ΜΩΡΗ ΑΡΡΩΣΤΙΑ"" translates to ""@user you have 200 kilos, you sick baby"". This is a direct insult targeting the athlete's weight and using derogatory terms (""sick baby"") which falls under the category of Insults / Personal Attacks."
@user Thanks for letting us dreaming 🙏,non-toxic,"The comment uses the phrase ""letting us dreaming"". While seemingly innocuous, it implies a patronizing and dismissive tone towards the athlete and their performance, subtly discouraging their efforts. This aligns with the definition of toxicity as discouraging participation."
@user Respect....,toxic,"The comment ""@user Respect...."" is likely expressing a lack of respect, which can be interpreted as discouraging participation or causing emotional harm, especially when directed at an athlete. While it could be hyperbolic banter, the context of directly calling out a user with a statement about respect implies a negative sentiment. Therefore, it is classified as toxic."
@user @user Come to Legia 🥲,non-toxic,"The comment ""@user @user Come to Legia 🥲"" appears to be a suggestion for an athlete to join a specific team (Legia). This falls under competitive banter and is not inherently toxic, as it doesn't contain insults, threats, or derogatory remarks. The use of the emoji does not indicate negativity."
@user I thought you would have been a Premier League player as you oozed quality.,toxic,"The comment expresses disappointment in the athlete's career trajectory and uses the phrase ""oozed quality"" sarcastically, implying the athlete lacked the necessary skills. While it's a form of trash talk, the sarcastic tone and implied criticism could be perceived as discouraging and potentially harmful, classifying it as toxic within the given context."
@user @user γαμα τους Φίλιππε ☘️,toxic,"The text contains profanity (""γαμα""), which falls under the category of vulgar/obscene language and constitutes an insult directed at the athlete. While sports banter can involve some harsh language, the presence of direct profanity targeting an individual classifies this as toxic."
@user Amazing brilliant player !!!! Thank you for everything 🙏,non-toxic,"The comment expresses admiration and gratitude towards the athlete, using positive language and emojis. It does not contain any elements of insult, hate speech, threats, vulgarity, or sarcasm, and therefore falls within the definition of a non-toxic comment."
@user @user Congratulations Jason,non-toxic,"The comment expresses congratulations and does not contain any elements of toxicity such as insults, hate speech, threats, vulgar language, or sarcasm. It is a simple and positive message directed at an athlete."
@user where are you you mf I didn’t prop you for nearly a decade for you to make me go out like this,toxic,"The comment contains profanity (""mf"") and expresses significant frustration and disappointment in a way that could be perceived as an attack on the athlete's character. While hyperbolic language is common in sports banter, the aggressive tone and use of offensive language push this beyond acceptable trash talk and into toxic territory."
@user ΤΙ ΕΒΑΛΕΣ ΡΕ ΚΑΡΓΙΟΛΗ; 💦💦💦💦,toxic,"The comment uses offensive language (""ΚΑΡΓΙΟΛΗ"") which is a derogatory term targeting the athlete. While the context involves banter, the use of such a direct insult constitutes a personal attack, aligning with the definition of toxic."
@user @user Απαν κατα απαν,toxic,"The text ""@user @user Απαν κατα απαν"" appears to be repeating a user's handle, which is a form of mocking and could be intended to discourage participation in the discussion or cause emotional harm. Without more context, this repetitive comment could be interpreted as a personal attack, thus classifying it as toxic."
@user Can you follow me,non-toxic,"This comment is a request, not a statement or attack. It doesn't contain any elements of insult, hate speech, threats, vulgarity, or sarcasm. Therefore, it doesn't meet the criteria for toxic language."
@user Good luck 🤞 to u in the upcoming season but your stat tackles is needed than your,toxic,"The comment uses a dismissive and condescending tone, implying the athlete's performance is inadequate and criticizing their skills. While framed as encouragement, the phrasing ""your stat tackles is needed than your"" comes across as an insult and discourages participation, falling under the category of Insults / Personal Attacks."
@user Missed you last season 🐺,non-toxic,"The comment is a simple message expressing acknowledgement of the athlete's absence last season. It uses a positive emoji (wolf) which indicates support and does not contain any insults, threats, or offensive language."
@user We bless God for your safety,non-toxic,"The comment expresses gratitude for the athlete's safety, which is a positive and supportive message. It does not contain any elements of insult, hate speech, threats, vulgar language, or sarcasm, and is therefore non-toxic."
@user featured in the 0-0 draw of @user vs @user 🟣⚪📊100%  Passes to final third Passes accurate81%  Actions Successful75%  Duels Won#teamOIS#Androutsos#osnabrück #bundesliga2,non-toxic,"The text is a statistical analysis of a soccer player's performance. It contains hashtags related to the team and league but doesn't include any insults, threats, or offensive language. It is purely descriptive and objective."
@user Εχει πετρες ρε μλκ προσεχε,toxic,"The comment contains profanity (""ρε μλκ""), which falls under the category of vulgar/obscene language and insults/personal attacks. While trash talk is common, the use of offensive language constitutes a toxic comment."
@user Μπράντον είσαι ο καλύτερος ποδοσφαιριστής για μένα. Μου αρέσει που έχεις ήθος. Καλή επιτυχία να έχεις όπου και αν πας!,non-toxic,"The comment expresses admiration for the athlete, praising his skill and character. It wishes him well and avoids any insulting, threatening, or derogatory language. Therefore, it is a positive and supportive message."
@user @user Filip you have more to offer.You know it.Let's try for the best.,toxic,"The comment encourages the athlete ""Filip"" and states that he ""has more to offer."" While seemingly supportive, the phrasing implies a lack of performance and subtly criticizes his current abilities, which could be perceived as discouraging. Although not overtly aggressive, the tone discourages participation."
@user @user @user @user “Aqua”,toxic,"The comment uses the nickname ""Aqua"" to mock the athlete. While sports banter can be hyperbolic, this feels like a direct insult intended to demean the athlete. This falls under the category of insults/personal attacks."
@user Where is the rest of the team?,non-toxic,"This comment is a question, not a statement or insult. It's likely a form of competitive banter, inquiring about the team's performance or location, rather than a direct attack or discouragement."
@user we love you men!!always by your side bro!!💚☘️💚💪🫶,non-toxic,"The comment expresses support and encouragement for the athlete using positive language and emojis. There are no elements of insult, threat, hate speech, vulgarity, or sarcasm present. Therefore, it is classified as non-toxic."
@user @user We miss you too!,non-toxic,"The comment expresses a sentiment of missing someone, which is generally positive and lacks any elements of insult, threat, hate speech, or vulgarity. It's a friendly and supportive message directed at an athlete."
