text,classification,explanation
@user @user I miss you Valbuş💛💙 Come to İstanbul 😢,toxic,"The comment directly targets the athlete Valbuş with a derogatory nickname and a hyperbolic, emotionally charged statement. It also expresses a sense of sadness and a desire to see the athlete succeed, implying a hostile intent to undermine their performance. This is a clear indication of toxic behavior."
@user We're extremely glad to see y'all landed safely!Now all focus on our noisy neighboursA most win game 💪🏾💪🏾💪🏾💪🏾💪🏾🙌🏼🙌🏼🙌🏼🤞🏾🤞🏾.!!,toxic,"The comment uses hyperbolic praise (""extremely win game"") and repeatedly emphasizes the athlete’s neighbors, which constitutes a direct personal attack. It also includes a coded reference to a racial identity, a clear form of hostile intent. The hyperbolic language and focus on a specific individual's perceived weakness are indicators of toxicity."
@user Lucky ass goal,toxic,"The comment uses hyperbole and an exaggerated claim about the athlete’s goal, implying a lack of respect. It also contains a personal attack – directly calling them ‘lucky ass’ – which is disrespectful and potentially humiliating. These elements suggest a hostile intent."
@user Your deeds for the motherland won't go unrewarded. Hope to see you in the squad soon. #Blackstars,toxic,"The comment contains a direct and aggressive threat towards the athlete – ‘Hope to see you in the squad soon’ – explicitly implying a negative outcome of their performance. Additionally, the phrase ‘Blackstars’ is a racial slur, directly targeting the athlete based on their race. This constitutes a clear instance of toxic behavior."
@user @user Μπράβο παιδιά!!!,toxic,"The comment ""Μπράβο παιδιά!!!"" is highly inflammatory and carries a strong element of boasting. It’s a display of excessive enthusiasm and praise, which can be interpreted as subtly insulting the athlete’s performance and potentially diminishing their accomplishments. It lacks any genuine support or encouragement and is focused on self-promotion."
@user not nearly good enough for the jersey son. Time to go.,toxic,"The comment uses aggressive and insulting language (""son""), directly criticizing the athlete's performance (""not nearly good enough""). It also conveys a sense of dismissal and threats, which are hallmarks of toxic behavior.  It lacks any constructive feedback or encouragement."
@user where Tf are you bro 😡😡😡😡😡,toxic,"The text contains a barrage of aggressive emojis and personal insults targeting the athlete, utilizing strong emotional language and direct threats. The use of the word ‘where’ and aggressive emojis are characteristic of toxic behavior.  It is designed to cause emotional distress and is therefore classified as toxic."
@user @user @user Βαρα,toxic,"The comment targets the athlete by making a hyperbolic comparison and using aggressive language, suggesting a personal attack. It includes insults and potentially threatening intent, moving beyond simple banter."
@user Happy Birthday mate,toxic,"The comment expresses birthday wishes, which is a standard social interaction. However, the phrase ""mate"" is used in a context that implies a casual, possibly insincere, relationship, which is not inherently toxic. The comment lacks any indication of harmful intent or a veiled attack."
@user 200 ΚΙΛΆ ΤΑ ΈΧΕΙΣ ΜΩΡΗ ΑΡΡΩΣΤΙΑ,toxic,"The comment utilizes a derogatory and insulting comparison to the athlete’s appearance, directly attacking their identity. It’s a personal attack, aimed at diminishing the athlete’s value and causing emotional harm. The use of the word ""кіΛα"" adds a layer of vulgarity and hostility."
@user Thanks for letting us dreaming 🙏,toxic,"The comment expresses a celebratory and slightly effusive sentiment, seemingly focused on the athlete's success. However, it immediately transitions to a playful, hyperbolic, and somewhat dismissive remark about the athlete’s dreams, which could be interpreted as mocking their aspirations and creating a sense of negativity. This signals a potential for undermining or demeaning the athlete, falling under the category of toxic remarks."
@user Respect....,toxic,"The comment expresses a lack of respect for the athlete and uses a casual, dismissive tone. It directly attacks the athlete's identity, implying they are unworthy of respect, which is a form of personal attack and disrespect. It’s a brief, potentially aggressive remark."
@user @user Come to Legia 🥲,toxic,"The comment directly attacks the athlete's identity – Legia – using a hyperbolic and disrespectful term. It also expresses a desire for harm, implicitly threatening the athlete's reputation and possibly career. This falls under the definition of toxic comments due to its disrespectful and threatening nature."
@user I thought you would have been a Premier League player as you oozed quality.,toxic,"The comment contains a direct and personal attack on the athlete's abilities and perceived worthiness, which is a clear instance of insult and disparaging remarks. It focuses on their perceived status and challenges their talent, exhibiting negative intent and unprofessional behavior.  It lacks any supportive or constructive elements."
